001,Introducao a Programacao de Computadores
5.0,1,1,1
20240169,2.8,0.12,9.53
20240158,1.93,9.93,6.78
20240108,3.35,3.36,5.9
20240117,7.94,5.76,0.25
20240118,1.48,8.89,5.66
20240101,0.67,2.17,2.68
20240104,3.52,3.93,1.77
20240151,1.88,1.77,8.34
20240112,2.02,5.91,4.11
20240134,5.53,9.39,3.9
20240137,0.38,5.51,0.11
20240121,6.81,8.31,9.89
20240103,8.05,6.08,2.85
20240124,5.26,4.48,9.82
20240133,6.96,8.81,7.3
20240109,2.8,4.87,9.68
20240164,7.55,6.99,8.88
20240105,6.45,7.84,7.76
20240147,5.54,0.9,7.65
20240125,2.48,2.96,5.54
20240167,2.07,2.72,7.58
20240115,1.61,9.54,3.09
20240110,2.78,5.27,8.4
20240128,3.12,3.11,2.72
20240119,0.97,6.26,6.16
20240106,4.95,2.99,4.0
20240116,2.71,0.0,0.43
20240165,9.57,2.9,5.36
20240144,6.3,4.44,8.47
20240142,7.32,5.22,9.83
20240113,6.59,5.08,2.44
20240170,5.75,6.96,5.73
20240166,4.95,4.99,0.39
20240161,0.19,4.3,1.25
20240127,5.93,6.2,0.02
20240156,0.82,0.14,6.37
20240122,2.17,2.27,6.13
20240114,0.02,0.29,7.15
20240102,6.74,1.59,5.1
20240153,1.56,9.84,8.62
20240111,5.16,6.65,1.16
20240162,4.17,0.08,8.51
20240143,2.84,6.94,8.28
20240139,7.27,5.6,2.16
20240135,5.39,6.75,4.85
20240148,2.35,1.93,4.95
20240141,6.18,7.53,1.03
