005,Banco de Dados
5.0,1,1,1
20240121,0.58,9.74,3.03
20240126,0.43,4.86,9.21
20240102,9.05,0.77,5.38
20240128,5.98,9.63,8.75
20240167,9.24,1.01,3.63
20240129,0.47,4.55,2.44
20240131,7.95,8.66,2.77
20240168,0.26,1.35,8.91
20240147,1.69,4.42,1.53
20240103,5.25,3.52,5.23
20240169,2.9,6.49,4.51
20240119,1.67,2.83,5.64
20240123,8.61,8.53,2.95
20240135,0.1,2.16,9.25
20240144,8.38,7.73,8.53
20240105,3.48,5.23,9.83
20240106,3.62,1.49,6.47
20240132,5.45,7.96,8.75
20240165,4.59,7.6,8.63
20240139,5.29,4.59,0.04
20240157,9.05,6.0,6.33
20240152,9.41,4.97,8.58
20240156,5.1,2.09,2.07
20240136,1.89,2.41,8.39
20240145,6.75,5.69,3.98
20240110,9.22,5.23,5.87
20240161,2.27,2.29,3.93
20240159,7.47,3.43,9.09
20240101,3.24,5.87,6.38
20240125,8.6,5.68,3.4
20240107,6.42,3.26,8.75
20240122,9.0,1.62,1.83
20240137,5.23,9.21,0.04
20240146,1.18,5.01,4.06
20240140,0.81,7.71,1.55
20240130,5.91,1.75,5.5
20240114,4.37,1.58,3.63
20240151,2.57,8.44,4.2
20240118,2.43,9.92,1.92
20240124,8.44,7.02,3.93
20240116,1.59,3.53,0.09
20240115,5.86,7.45,3.88
20240166,0.58,2.86,1.55
20240158,7.17,0.02,3.77
20240162,1.2,9.17,3.39
20240164,4.57,2.9,1.28
20240155,1.24,7.02,5.99
20240163,8.12,9.69,6.7
20240142,6.55,0.12,2.58
20240148,4.9,5.69,4.34
20240120,6.08,9.74,1.0
20240149,7.94,9.98,3.48
20240134,3.37,1.14,3.53
20240150,4.69,8.27,3.84
20240138,3.98,8.48,9.96
