004,Sistemas Operacionais
5.0,1,1,1
20240109,1.65,0.59,1.34
20240145,0.4,2.03,6.2
20240144,1.94,4.51,6.6
20240170,2.01,9.33,4.51
20240167,6.66,7.65,6.4
20240146,8.55,9.23,4.61
20240127,9.54,9.7,0.26
20240121,5.69,6.37,3.35
20240102,1.9,5.91,4.71
20240168,0.36,7.76,1.69
20240116,1.02,6.71,7.18
20240149,7.34,7.52,7.84
20240108,0.21,6.72,2.24
20240119,6.2,8.14,6.53
20240152,4.92,8.64,0.07
20240155,5.62,9.63,0.27
20240118,5.16,8.46,7.7
20240101,6.5,6.04,9.88
20240115,4.03,1.43,3.4
20240122,5.05,2.57,4.82
20240143,4.41,2.85,6.7
20240147,3.4,2.22,4.02
20240123,1.79,1.61,7.99
20240138,5.67,2.26,6.99
20240126,5.31,7.63,0.9
20240137,8.59,5.9,3.89
20240124,5.21,4.17,6.0
20240156,6.09,3.74,8.35
20240139,8.51,6.52,8.23
20240151,9.92,6.03,1.51
20240112,5.34,0.02,8.78
20240128,0.59,8.01,2.16
20240129,3.94,2.26,3.06
20240130,0.96,2.81,7.64
20240142,1.46,8.0,3.05
20240113,5.2,8.72,5.33
20240140,9.51,5.34,0.29
20240105,1.36,7.17,1.27
20240106,1.63,9.95,4.2
